Player,Team,FG,FGA,XPT,FPTS
Justin Tucker,BAL,28.3,32.6,49.5,134.4
Harrison Butker,KC,28.8,33.3,47.1,133.4
Greg Zuerlein,DAL,28,35.9,44.5,128.6
Tyler Bass,BUF,26.9,33,46.9,127.6
Ryan Succop,TB,26.3,31.6,48.3,127.1
Younghoe Koo,ATL,29.5,34.8,38.5,126.9
Jason Myers,SEA,26.8,30.3,44.7,125.1
Jason Sanders,MIA,28.5,33.8,37.3,122.8
Daniel Carlson,LV,27.1,32.7,40.9,122.1
Mason Crosby,GB,23.4,25.5,51.1,121.3
Rodrigo Blankenship,IND,27.8,34,37.5,120.8
Matt Gay,LAR,27.4,33.1,38.5,120.8
Robbie Gould,SF,25.7,31.7,42.1,119.2
Matt Prater,ARI,25.8,31.2,40.5,118
Chase McLaughlin,CLE,25.6,30.2,40.1,117
Brandon McManus,DEN,27.1,32.7,35.6,116.9
Cairo Santos,CHI,26.4,31.8,36.8,115.9
Sam Ficken,TEN,24.6,30.1,41.9,115.7
Tristan Vizcaino,LAC,26.1,31.7,37.1,115.5
Graham Gano,NYG,27.3,31.3,32.1,114
Chris Boswell,PIT,25.1,28.3,38,113.2
Evan McPherson,CIN,26.2,32.3,32.5,111.2
Dustin Hopkins,WAS,25.7,31.3,33.8,110.9
Quinn Nordin,NE,25.5,31,33.4,109.9
Ryan Santoso,DET,25.3,31.9,30.6,106.6
Austin Seibert,DET,24.6,29.2,32.2,105.9
Josh Lambo,JAC,24.2,27.5,32.8,105.3
Matt Ammendola,NYJ,23.8,28.4,29.1,100.5
Jake Elliott,PHI,22.6,26.6,29.5,97.3
Greg Joseph,MIN,19.7,29.4,35.2,94.5
Ka'imi Fairbairn,HOU,18,19.4,23.1,77.1
Joey Slye,SF,16.7,20.3,21.5,71.6
Wil Lutz,NO,15,15.5,26.1,71
Nick Folk,NE,0,0,0,0
Randy Bullock,TEN,0,0,0,0
Brett Maher,NO,0,0,0,0
Cody Parkey,NO,0,0,0,0
