Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh Allen,BUF,595.4,394.6,"4,574.90",33.3,12.9,109.3,517.3,7.2,4.3,389.3
Patrick Mahomes II,KC,620.8,413.1,"5,027.60",38,9.5,55.5,289.8,2.8,1.8,386
Kyler Murray,ARI,585.6,389,"4,261.80",27.6,12.7,128.1,726.5,7.3,2.8,379.4
Lamar Jackson,BAL,462.7,298.5,"3,406.20",28.1,11.5,154.5,952.7,7.3,3.4,369.2
Dak Prescott,DAL,623.9,418.7,"4,886.10",31.5,11.3,64.1,298.1,4.3,3,359.4
Russell Wilson,SEA,572.1,382,"4,342.90",34.2,11.3,81.9,445.6,2.4,2.9,351.9
Justin Herbert,LAC,614.2,401.9,"4,614.80",31.1,12.4,62.5,267.6,3.9,1.9,342.8
Aaron Rodgers,GB,567.4,383.5,"4,501.50",36.3,7.7,39.7,180.8,2,2.6,342.4
Tom Brady,TB,619.6,404.9,"4,819.80",36.4,11.5,25.2,39,2,1.9,339
Jalen Hurts,PHI,536.3,327,"3,652.50",21.8,13.8,143.1,743.7,6.2,4.3,322.3
Ryan Tannehill,TEN,521.2,344,"4,172.20",30.1,11,51.1,243.8,3.6,2.1,318.3
Joe Burrow,CIN,611.9,403.1,"4,407.70",27.2,11.8,55.3,224.3,3,3.2,307
Matthew Stafford,LAR,603.9,398.6,"4,488.70",28.6,11.7,32.4,115.4,0.7,2.6,292.8
Kirk Cousins,MIN,533,360.1,"4,305.20",29.9,13,35.6,123.3,1.2,3.2,292
Trevor Lawrence,JAC,587.7,376.1,"4,123.20",25.2,13.2,67.3,287.7,2.3,2,291.1
Tua Tagovailoa,MIA,570.5,371.8,"4,061.50",26,13,56.9,226.4,2.8,1.7,289.6
Baker Mayfield,CLE,539.9,344.7,"4,043.70",28.7,12.6,46.4,188.4,1.9,2.6,289.2
Matt Ryan,ATL,610.6,398.8,"4,513.50",27.4,13.3,32.9,103.1,1.2,3.2,288.1
Ben Roethlisberger,PIT,612.4,397.7,"4,370.90",30.6,14,23.1,36.2,0.6,1.7,287
Derek Carr,LV,553.9,368.7,"4,344.80",27.5,11.1,30.5,111.2,1.8,4.2,286.4
Ryan Fitzpatrick,WAS,567.3,373.8,"4,123.90",24.7,15.9,50.2,234.1,2.7,1.7,284.4
Daniel Jones,NYG,549,347.1,"3,821.80",22.6,13.6,71.1,407.2,2.7,4.7,277.4
Zach Wilson,NYJ,546.1,345.3,"3,915.50",22.5,14.3,61.4,297,2.5,2.4,272.4
Jameis Winston,NO,501.5,324.8,"3,856.40",25.8,15.7,58,269.2,1.6,3.7,270.8
Sam Darnold,CAR,549.5,351.9,"3,945.20",22.3,15,52.5,222.9,2.9,2.9,265.6
Carson Wentz,IND,533.9,334.8,"3,718.10",24,12.6,56.2,255.5,2.5,4.6,263.3
Mac Jones,NE,547.5,352.8,"3,929.00",24.5,13.6,40.8,142.1,1.9,2.2,262.6
Jared Goff,DET,579.3,372.9,"4,172.50",23.6,14,40.5,105.4,1.6,3.3,260.7
Teddy Bridgewater,DEN,466.4,303.9,"3,599.60",20.8,12.5,48.7,222.7,2.5,2,248
Justin Fields,CHI,520.7,333.3,"3,018.40",18.5,10.6,90.8,363.9,3.1,2.4,234.4
Trey Lance,SF,419.3,266.9,"2,740.50",17.2,9.5,85.3,390.6,3.3,1.8,224.4
Tyrod Taylor,HOU,480.2,298,"3,109.30",16.5,9.4,55.7,248,1.8,1.1,214.4
Jimmy Garoppolo,SF,135,90.7,"1,584.60",9.9,5.3,9.2,39.1,0.5,1.2,102
Taysom Hill,NO,78,51.3,780.1,3.7,2.5,59.1,259.5,3.1,2,83.8
Deshaun Watson,HOU,82,53.7,"1,026.90",6.5,2.9,8,93.2,0.4,0.3,75.7
Andy Dalton,CHI,69.6,43.9,"1,096.90",6.8,4.2,9,65.1,0.4,0.6,74.6
Drew Lock,DEN,90.2,54.5,578.5,3.6,2.2,9.4,30.6,0.1,0.5,38.3
Davis Mills,HOU,106.9,66.1,571.8,2.8,2.1,6.6,25.4,0.3,0.8,34.6
Bryce Perkins,LAR,0,0,343.5,1.1,1.6,0,21.9,0.5,0.2,21.1
Jacob Eason,IND,45.7,28,329.7,1.7,1.5,1.9,8.3,0.1,0.2,19.3
Taylor Heinicke,WAS,42.6,26.9,294.8,1.6,1.4,5.2,21.1,0.1,0.2,18.7
Kellen Mond,MIN,28,17.6,228.1,1.5,0.8,2.4,12.2,0.2,0.2,16.5
Mason Rudolph,PIT,34.6,21.4,239,1.6,0.9,2.3,7.5,0,0.2,15.5
Tyler Huntley,BAL,18.4,11.1,204.2,0.9,1,3,36,0.2,0.2,15.1
Brian Hoyer,NE,29.6,18.8,262.1,1.2,1.1,1,2,0.1,0.2,14.5
Mike White,NYJ,37,22.3,255.6,1.3,1.2,1,4.1,0.1,0.3,14.5
Feleipe Franks,ATL,25.3,15.6,229,1.1,1.2,1.1,10.1,0.2,0.1,14
Jacoby Brissett,MIA,28.3,17.8,200.3,1,0.6,4.2,14.9,0.1,0.2,13
Marcus Mariota,LV,25.9,16.1,189,1,0.7,3.6,19.2,0.1,0.1,13
P.J. Walker,CAR,34,21.4,244.8,1,1,2,4.4,0,0.3,12.9
Gardner Minshew II,PHI,21.3,13.8,184.3,1.1,0.6,3.2,13,0.1,0.5,12.1
Mitchell Trubisky,BUF,19.2,12.6,163.8,0.9,0.7,3.7,14.5,0.1,0.1,11.2
Tim Boyle,DET,26,16,178,1,0.5,2,3.5,0,0,11
Kyle Trask,TB,20,13,150,1,0,1,3,0,0,10.3
C.J. Beathard,JAC,20,12.3,182,0.9,0.6,1.2,4.1,0,0.4,10
Blaine Gabbert,TB,22,13.5,154.1,1,0.3,1.2,4.4,0,0.2,9.9
Trace McSorley,BAL,18,12,129,1,0,0,0,0,0,9.2
John Wolford,LAR,22.3,14,154.8,0.7,0.3,1.4,7.2,0,0.1,9.2
Jordan Love,GB,14.4,8.9,136.3,0.9,0.5,0.6,2.2,0.1,0.1,9
Chad Henne,KC,19.4,12,137.9,0.8,0.2,1,4.6,0,0.1,8.7
Brandon Allen,CIN,20.5,12.8,142.6,0.7,0.4,1,4.1,0,0.1,8.3
Cooper Rush,DAL,17.5,10.5,143.3,0.7,0.4,0.4,1.3,0,0.1,8.2
Ian Book,NO,18,12,119,1,1,1,4,0,0,8.2
David Blough,DET,18.2,11,125.9,0.8,0.4,1.3,5,0,0.1,8
Geno Smith,SEA,16.2,10.3,113.5,0.9,0.2,1,1.9,0,0.2,7.8
Jarrett Stidham,NE,13,8.3,91,0.7,0.3,8.3,17.3,0,0,7.7
Mike Glennon,NYG,19.6,12.2,150.6,0.7,0.8,1,3.8,0,0.5,7.7
Chase Daniel,LAC,17.2,10.7,121.3,0.7,0.4,1.2,4.6,0,0.1,7.5
Colt McCoy,ARI,15.7,10.3,109.3,0.7,0.3,1,5.3,0,0,7.2
Logan Woodside,TEN,12.8,7.9,89.3,0.8,0.3,2,5.8,0,0.1,7
Chris Streveler,ARI,15.9,9.4,106.2,0.6,0.5,1.6,6.7,0.1,0.2,6.9
Joe Flacco,PHI,21.7,14,151.3,0.7,0.7,1,5.7,0,1,6.6
Case Keenum,CLE,13.8,8.6,98.6,0.7,0.3,0.7,2.9,0,0.6,5.4
Dwayne Haskins,PIT,13.5,8.5,84,0.5,0.5,1.5,5,0,0,5.4
Josh Rosen,ATL,13,8.3,91,0.3,0.3,1.3,5,0,0,5.1
Nick Mullens,CLE,0,0,0,0,0,0,0,0,0,0
Kyle Allen,WAS,0,0,0,0,0,0,0,0,0,0
Nick Foles,CHI,0,0,0,0,0,0,0,0,0,0
Easton Stick,LAC,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,TB,0,0,0,0,0,0,0,0,0,0
Ben DiNucci,DAL,0,0,0,0,0,0,0,0,0,0
Sean Mannion,MIN,0,0,0,0,0,0,0,0,0,0
Nathan Peterman,LV,0,0,0,0,0,0,0,0,0,0
Joshua Dobbs,PIT,0,0,0,0,0,0,0,0,0,0
